
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.164.1:139      0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1548
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:2869              [::]:0                 LISTENING       4
  TCP    [::]:3000              [::]:0                 LISTENING       21896
  TCP    [::]:7680              [::]:0                 LISTENING       10196
  TCP    [::]:49664             [::]:0                 LISTENING       1232
  TCP    [::]:49665             [::]:0                 LISTENING       1064
  TCP    [::]:49666             [::]:0                 LISTENING       2288
  TCP    [::]:49667             [::]:0                 LISTENING       3640
  TCP    [::]:49668             [::]:0                 LISTENING       10984
  TCP    [::]:49673             [::]:0                 LISTENING       1180
  TCP    [::1]:1434             [::]:0                 LISTENING       1876
  TCP    [::1]:3000             [::1]:50657            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:62216            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:62228            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:63184            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:64283            TIME_WAIT       0
  TCP    [::1]:3000             [::1]:64940            TIME_WAIT       0
  TCP    [::1]:7679             [::]:0                 LISTENING       19556
  TCP    [::1]:49669            [::]:0                 LISTENING       12452
  UDP    0.0.0.0:123            *:*                                    5488
  UDP    0.0.0.0:5050           *:*                                    6528
  UDP    0.0.0.0:5353           *:*                                    15240
  UDP    0.0.0.0:5353           *:*                                    15240
  UDP    0.0.0.0:5353           *:*                                    15240
  UDP    0.0.0.0:5353           *:*                                    15240
  UDP    0.0.0.0:5353           *:*                                    15240
  UDP    0.0.0.0:5353           *:*                                    2172
  UDP    0.0.0.0:5353           *:*                                    15240
  UDP    0.0.0.0:5355           *:*                                    2172
  UDP    0.0.0.0:49184          31.13.82.51:443                        5808
  UDP    0.0.0.0:49664          142.250.198.142:443                    2664
  UDP    0.0.0.0:50537          142.250.71.161:443                     2664
  UDP    0.0.0.0:52590          142.250.197.110:443                    2664
  UDP    0.0.0.0:54747          *:*                                    10984
